,Open Bid_x,Open Bid_y,weekday_y,Long Swap USDPLN,Short Swap USDPLN
2005-10-02,3.75,4.45,6,-4.970760233918125e-06,3.436426116838494e-06
2005-10-03,3.71,4.46,0,-5.071950931823542e-06,3.753753753753753e-06
2005-10-04,3.71,4.46,1,-5.130927105449397e-06,3.753753753753753e-06
2005-10-05,3.75,4.4,2,-1.4912280701754376e-05,1.0221760221760227e-05
2005-10-06,3.72,4.45,3,-5.002354048964214e-06,3.630705394190871e-06
2005-10-07,3.74,4.44,4,-4.981247069854662e-06,3.703703703703709e-06
2005-10-08,3.74,4.45,5,-5.039849976558831e-06,3.630705394190871e-06
2005-10-09,3.74,4.45,6,-5.039849976558831e-06,3.630705394190871e-06
2005-10-10,3.73,4.4,0,-5.109231853417896e-06,3.2139577594123062e-06
2005-10-11,3.75,4.43,1,-5.087719298245617e-06,3.5805035805035777e-06
2005-10-12,3.71,4.46,2,-1.5038924274593064e-05,1.1261261261261258e-05
2005-10-13,3.72,4.41,3,-5.178907721280595e-06,3.4001844167819277e-06
2005-10-14,3.72,4.46,4,-4.94350282485875e-06,3.6883356385431067e-06
2005-10-15,3.76,4.44,5,-4.843604108309992e-06,3.4435261707988986e-06
2005-10-16,3.76,4.44,6,-4.843604108309992e-06,3.4435261707988986e-06
2005-10-17,3.71,4.45,0,-5.543760320830389e-06,3.696003696003696e-06
2005-10-18,3.71,4.46,1,-5.602736494456238e-06,3.753753753753753e-06
2005-10-19,3.73,4.41,2,-1.532769556025369e-05,1.0983263598326372e-05
2005-10-20,3.75,4.4,3,-5.0292397660818705e-06,3.4722222222222283e-06
2005-10-21,3.83,4.4,4,-4.428341384863119e-06,2.6481857110660396e-06
2005-10-22,3.87,4.45,5,-5.532740132329455e-06,3.05498981670061e-06
2005-10-23,3.87,4.45,6,-5.532740132329455e-06,3.05498981670061e-06
2005-10-24,3.85,4.4,0,-4.352806414662088e-06,2.525252525252529e-06
2005-10-25,3.89,4.43,1,-4.203590093160644e-06,2.8172188415596096e-06
2005-10-26,3.93,4.41,2,-1.1663286004056806e-05,7.377598926894694e-06
2005-10-27,3.96,4.4,3,-3.5842293906810005e-06,1.8664909969257812e-06
2005-10-28,4.0,4.4,4,-3.388888888888892e-06,1.925192519251927e-06
2005-10-29,4.0,4.36,5,-4.166666666666664e-06,1.5310586176727942e-06
2005-10-30,3.96,4.36,6,-4.424283154121862e-06,1.646903820816867e-06
2005-10-31,4.02,4.4,0,-3.2093846834882727e-06,1.7497812773403356e-06
2005-11-01,4.03,4.4,1,-4.197039982328251e-06,1.8664909969257812e-06
2005-11-02,3.96,4.45,2,-1.0584677419354832e-05,6.4229249011857894e-06
2005-11-03,3.97,4.44,3,-3.800581265369998e-06,2.0271751040981793e-06
2005-11-04,4.01,4.45,4,-3.2712353071634507e-06,1.9063180827886766e-06
2005-11-05,4.0,4.37,5,-4.22222222222222e-06,1.5857392825896735e-06
2005-11-06,4.0,4.37,6,-4.22222222222222e-06,1.5857392825896735e-06
2005-11-07,3.97,4.45,0,-3.7446903644086706e-06,2.081963620425157e-06
2005-11-08,3.97,4.42,1,-3.6887994634473444e-06,1.9175980714442226e-06
2005-11-09,3.97,4.42,2,-1.1066398390342033e-05,5.752794214332668e-06
2005-11-10,3.97,4.42,3,-3.6887994634473444e-06,1.9175980714442226e-06
2005-11-11,3.97,4.45,4,-3.5211267605633757e-06,2.081963620425157e-06
2005-11-12,4.0,4.45,5,-3.33333333333333e-06,2.023184601924762e-06
