,Open Bid_x,Open Bid_y,weekday_y,Short Swap USDDKK,Long Swap USDDKK
2005-09-09,3.54,2.09,4,-9.279214559386976e-06,7.95398923152227e-06
2005-09-10,3.58,2.06,5,-9.537434430138295e-06,8.005822416302766e-06
2005-09-11,3.58,2.06,6,-9.537434430138295e-06,8.005822416302766e-06
2005-09-12,3.53,2.06,0,-9.29951690821256e-06,7.787588913416727e-06
2005-09-13,3.59,2.09,1,-9.476427386875146e-06,8.169934640522875e-06
2005-09-14,3.62,2.06,2,-2.9307909604519773e-05,2.453102453102453e-05
2005-09-15,3.69,2.1,3,-9.800510322430989e-06,8.528784648187631e-06
2005-09-16,3.69,2.08,4,-9.916492693110647e-06,8.351101634683722e-06
2005-09-17,3.71,2.1,5,-9.649122807017543e-06,8.905402217504125e-06
2005-09-18,3.68,2.07,6,-9.937238493723849e-06,8.66571699905033e-06
2005-09-19,3.72,2.08,0,-9.990759990759994e-06,8.76883239171375e-06
2005-09-20,3.69,2.08,1,-9.916492693110647e-06,8.647239990523572e-06
2005-09-21,3.68,1.98,2,-3.13807531380753e-05,2.5819088319088318e-05
2005-09-22,3.76,2.04,3,-1.0366552119129436e-05,8.870214752567693e-06
2005-09-23,3.74,2.06,4,-1.017943409247757e-05,8.673230192217536e-06
2005-09-24,3.78,2.08,5,-1.0027662517289074e-05,9.007438400743835e-06
2005-09-25,3.78,2.1,6,-9.912402028584603e-06,8.600650860065083e-06
2005-09-26,3.74,1.98,0,-1.0674931129476582e-05,8.849038912330051e-06
2005-09-27,3.73,1.98,1,-1.0639521509086726e-05,8.809020436927415e-06
2005-09-28,3.76,2.11,2,-3.0006858710562415e-05,2.626050420168067e-05
2005-09-29,3.73,2.08,3,-1.006441223832528e-05,8.809020436927415e-06
2005-09-30,3.71,2.1,4,-9.875259875259878e-06,8.610521349374854e-06
2005-10-01,3.76,2.08,5,-9.990759990759994e-06,8.636788048552754e-06
2005-10-02,3.75,2.08,6,-1.0137457044673537e-05,8.596491228070176e-06
2005-10-03,3.71,1.99,0,-1.051051051051051e-05,8.669497523000706e-06
2005-10-04,3.71,2.08,1,-9.990759990759994e-06,8.728473696626564e-06
2005-10-05,3.75,2.06,2,-3.0318780318780325e-05,2.6140350877192983e-05
2005-10-06,3.72,2.05,3,-1.0200553250345782e-05,8.651129943502827e-06
2005-10-07,3.74,2.08,4,-9.953703703703703e-06,8.556024378809192e-06
2005-10-08,3.74,2.05,5,-1.0200553250345782e-05,8.731833098921707e-06
2005-10-09,3.74,2.05,6,-1.0200553250345782e-05,8.731833098921707e-06
2005-10-10,3.73,2.12,0,-9.871441689623506e-06,8.867747239840264e-06
2005-10-11,3.75,2.07,1,-1.0048510048510052e-05,8.94736842105263e-06
2005-10-12,3.71,1.98,2,-3.170478170478171e-05,2.6185421089879695e-05
2005-10-13,3.72,2.08,3,-1.0027662517289074e-05,8.76883239171375e-06
2005-10-14,3.72,2.03,4,-1.0315813739050256e-05,8.76883239171375e-06
2005-10-15,3.76,2.02,5,-1.0445362718089988e-05,8.986928104575162e-06
2005-10-16,3.76,2.02,6,-1.0445362718089988e-05,8.986928104575162e-06
2005-10-17,3.71,1.98,0,-1.056826056826057e-05,8.728473696626564e-06
2005-10-18,3.71,2.02,1,-1.033726033726034e-05,8.787449870252416e-06
